TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity
2021-04-21 10:40:40.349,-0.057,-1.992,9.5,1.13
2021-04-21 10:40:40.750,-0.076,-2.011,9.481,3.82
2021-04-21 10:40:42.749,-0.057,-2.03,9.5,0.95
2021-04-21 10:40:44.749,-0.038,-1.992,9.519,2.85
2021-04-21 10:40:45.349,-0.057,-2.011,9.519,1.90
2021-04-21 10:40:45.549,-0.076,-2.03,9.5,1.90
2021-04-21 10:40:45.949,-0.057,-2.011,9.5,1.90
2021-04-21 10:40:46.149,-0.057,-1.992,9.519,3.78
2021-04-21 10:40:47.949,-0.057,-2.011,9.5,0.95
2021-04-21 10:40:48.349,-0.057,-1.992,9.519,0.00
2021-04-21 10:40:48.949,-0.076,-2.011,9.519,1.90
2021-04-21 10:40:49.549,-0.095,-2.03,9.5,2.39
2021-04-21 10:40:49.785,-0.057,-2.011,9.5,3.52
2021-04-21 10:40:49.950,-0.057,-2.011,9.5,1.91
2021-04-21 10:40:50.549,-0.076,-2.03,9.5,1.92
2021-04-21 10:40:51.749,-0.057,-2.011,9.5,0.00
2021-04-21 10:40:52.149,-0.076,-1.992,9.5,0.94
2021-04-21 10:40:53.152,-0.057,-2.011,9.481,0.97
2021-04-21 10:40:53.348,-0.076,-2.03,9.5,1.89
2021-04-21 10:40:53.749,-0.057,-1.992,9.5,2.86
2021-04-21 10:40:53.949,-0.038,-2.011,9.5,0.95
2021-04-21 10:40:54.349,-0.057,-1.992,9.481,0.95
2021-04-21 10:40:54.549,-0.076,-1.992,9.5,0.00
2021-04-21 10:40:55.949,-0.038,-1.992,9.5,2.85
2021-04-21 10:40:56.349,-0.076,-2.03,9.481,4.75
2021-04-21 10:40:56.549,-0.057,-2.011,9.5,2.85
2021-04-21 10:40:56.749,-0.076,-2.011,9.5,0.95
2021-04-21 10:40:58.549,-0.057,-1.992,9.5,1.90
2021-04-21 10:40:58.949,-0.057,-2.03,9.5,0.95
2021-04-21 10:40:59.549,-0.076,-2.011,9.5,0.00
2021-04-21 10:40:59.749,-0.076,-1.992,9.5,0.95
2021-04-21 10:41:01.949,-0.057,-2.03,9.5,0.95
2021-04-21 10:41:02.149,-0.038,-2.011,9.5,1.91
2021-04-21 10:41:02.349,-0.038,-2.011,9.5,0.95
2021-04-21 10:41:04.349,-0.057,-1.992,9.5,0.95
2021-04-21 10:41:05.149,-0.076,-1.992,9.481,1.90
2021-04-21 10:41:06.749,-0.057,-2.011,9.5,0.95
2021-04-21 10:41:06.949,-0.057,-1.992,9.5,1.91
2021-04-21 10:41:08.749,-0.076,-2.011,9.519,0.95
2021-04-21 10:41:08.949,-0.076,-1.992,9.5,0.95
2021-04-21 10:41:09.949,-0.057,-2.011,9.5,0.00
2021-04-21 10:41:10.149,-0.076,-2.011,9.519,0.95
2021-04-21 10:41:10.749,-0.057,-2.03,9.519,1.90
2021-04-21 10:41:11.949,-0.038,-2.011,9.5,0.95
2021-04-21 10:41:12.149,-0.038,-2.011,9.5,0.00
2021-04-21 10:41:12.758,-0.038,-2.011,9.5,0.00
2021-04-21 10:41:13.749,-0.076,-1.992,9.5,0.00
2021-04-21 10:41:18.349,-0.057,-2.011,9.481,0.95
2021-04-21 10:41:18.549,-0.076,-1.992,9.5,0.00
2021-04-21 10:41:19.349,-0.057,-2.011,9.5,0.00
2021-04-21 10:41:19.549,-0.076,-1.992,9.5,0.00
2021-04-21 10:41:19.749,-0.057,-2.011,9.519,0.95
2021-04-21 10:41:19.949,-0.076,-1.992,9.5,0.95
2021-04-21 10:41:21.149,-0.038,-2.011,9.5,0.95
2021-04-21 10:41:21.349,-0.057,-2.03,9.5,0.00
