@relation features_norm

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute stdX numeric
@attribute stdY numeric
@attribute stdZ numeric
@attribute varX numeric
@attribute varY numeric
@attribute varZ numeric
@attribute medianX numeric
@attribute medianY numeric
@attribute medianZ numeric
@attribute rmsX numeric
@attribute rmsY numeric
@attribute rmsZ numeric
@attribute corX numeric
@attribute corY numeric
@attribute corZ numeric
@attribute energyX numeric
@attribute energyY numeric
@attribute energyZ numeric
@attribute iqrX numeric
@attribute iqrY numeric
@attribute iqrZ numeric
@attribute madX numeric
@attribute madY numeric
@attribute madZ numeric
@attribute sma numeric
@attribute Class {0,1}

@data
0.081845,-0.65834,-0.013082,-0.40864,-0.59799,-0.43272,0.44103,-0.12911,0.26437,-0.46548,-0.73604,-0.36494,-0.85237,-0.96229,-0.79711,0.11623,-0.75218,0.22207,-0.57697,-0.48699,-0.36887,-0.68879,0.067079,-0.012853,-0.88334,-0.84578,-0.78702,-0.5264,-0.8242,-0.27439,-0.52734,-0.83261,-0.41002,-0.69049,0
0.18186,-0.69834,0.099457,-0.2919,-0.68105,-0.40565,0.73446,0.18429,0.33756,-0.72468,-0.81052,-0.47506,-0.9592,-0.9799,-0.86111,0.13346,-0.73323,0.30112,-0.51243,-0.49326,-0.41613,-0.79886,-0.31692,0.11054,-0.85109,-0.84916,-0.81632,-0.83376,-0.86008,-0.357,-0.82205,-0.85875,-0.45021,-0.65452,0
0.06974,-0.80153,0.1775,-0.48361,-0.88604,-0.6134,0.68741,0.31806,0.7128,-0.885,-0.89188,-0.94461,-0.99207,-0.99287,-0.99831,0.060343,-0.75375,0.1814,-0.71818,-0.44611,-0.61483,-0.67433,-0.48137,0.081379,-0.94056,-0.82284,-0.91587,-0.92093,-0.89406,-0.95803,-0.9034,-0.9562,-0.95809,-0.754,0
-0.40082,-0.76159,0.28821,-0.70606,-0.80848,-0.5303,0.078979,-0.084174,0.52717,-0.73011,-0.85784,-0.80526,-0.96073,-0.98824,-0.98054,-0.40765,-0.78218,0.33256,-0.63545,-0.46564,-0.4771,0.045425,-0.61671,-0.327,-0.90926,-0.834,-0.85093,-0.84198,-0.94534,-0.87555,-0.80932,-0.94351,-0.87617,-0.69188,0
-0.53921,-0.68102,-0.39743,-0.71967,-0.60274,-0.74801,0.002415,0.44153,0.47287,-0.614,-0.89092,-0.90936,-0.92171,-0.99276,-0.99565,-0.54858,-0.77897,-0.36268,-0.39566,-0.52902,-0.86463,0.19967,0.32049,0.018245,-0.78302,-0.86772,-0.9868,-1,-1,-1,-1,-1,-1,-0.77961,0
-0.66762,-0.3724,-0.10807,-0.65574,-0.78712,-0.78956,0.27358,0.47147,0.42884,-0.7393,-0.95627,-0.89249,-0.96325,-0.99851,-0.99393,-0.70917,-0.4775,-0.046503,-0.21212,-0.75594,-0.85774,0.077823,0.03513,-0.21576,-0.65071,-0.9575,-0.98565,-1,-1,-1,-1,-1,-1,-0.8224,0
-0.35951,-0.79932,-0.67652,-0.85002,-0.94699,-0.97472,0.44344,0.44343,0.44769,-0.97704,-1,-0.97705,-0.99946,-1,-0.99967,-0.38446,-0.82636,-0.61389,-0.73866,-0.45974,-0.62095,0.000684,0.75874,0.075751,-0.94734,-0.83066,-0.91833,-0.99135,-0.9986,-0.98951,-0.98992,-0.9986,-0.99308,-0.76326,0
-0.2299,-0.3928,0.3586,-0.3916,-0.49907,-0.3641,0.19064,-0.42937,0.65225,0.03661,-0.69022,-0.65402,-0.45663,-0.94874,-0.93933,-0.13176,-0.55089,0.45926,-0.42185,-0.60896,-0.35223,-0.1911,-0.2727,-0.060761,-0.79938,-0.90488,-0.77619,0.46534,-0.90412,-0.50634,0.65963,-0.91453,-0.57412,-0.72992,0
0.33505,-0.50947,0.1675,-0.26205,-0.66601,-0.4779,0.82776,0.2722,0.6373,-0.80625,-0.86017,-0.84331,-0.9791,-0.98859,-0.98731,0.30892,-0.60376,0.20113,-0.27691,-0.63573,-0.59941,-0.8345,-0.26677,0.27152,-0.70095,-0.91598,-0.90951,-0.82229,-0.91617,-0.84052,-0.78915,-0.91243,-0.84118,-0.67869,0
0.072154,-0.79744,-0.21369,-0.29612,-0.6858,-0.59355,0.52238,0.17213,0.42567,-0.3273,-0.83022,-0.70152,-0.7683,-0.98364,-0.95473,0.1216,-0.86579,-0.13374,-0.5267,-0.43358,-0.73652,-0.61795,0.13703,-0.093705,-0.85855,-0.81549,-0.95797,-0.054584,-0.85231,-0.64707,-0.0138,-0.86015,-0.65458,-0.76852,0
-0.13298,-0.95402,0.17951,-0.62424,-0.88604,-0.61072,0.53433,0.23015,0.65303,-0.86109,-0.87922,-0.89592,-0.98878,-0.99128,-0.9943,-0.15318,-0.99209,0.21625,-0.99101,-0.33799,-0.60386,-0.3597,-0.60034,-0.074427,-0.99923,-0.7546,-0.91137,-0.84912,-0.89778,-0.91223,-0.81436,-0.90679,-0.90579,-0.82243,0
0.081762,-0.82388,0.31807,-0.54585,-0.91852,-0.62062,0.77435,0.42844,0.78361,-0.98633,-0.991,-0.98518,-0.99974,-0.99985,-0.99985,0.056741,-0.85157,0.33949,-0.7065,-0.44215,-0.48254,-0.70593,-0.71302,0.14881,-0.93652,-0.82054,-0.85385,-0.98691,-0.99203,-0.98214,-0.98461,-0.99292,-0.98269,-0.67061,0
